occupation_socp,occupation_socp_category_code,occupation_socp_description,occupation_socp_label
331021,PRT,First-Line Supervisors Of Firefighting And Prevention Workers,PRT-First-Line Supervisors Of Firefighting And Prevention Workers
331090,PRT,"Miscellaneous First-Line Supervisors, Protective Service Workers","PRT-Miscellaneous First-Line Supervisors, Protective Service Workers"
332011,PRT,Firefighters,PRT-Firefighters
332020,PRT,Fire Inspectors,PRT-Fire Inspectors
333011,PRT,Bailiffs,PRT-Bailiffs
333012,PRT,Correctional Officers And Jailers,PRT-Correctional Officers And Jailers
333021,PRT,Detectives And Criminal Investigators,PRT-Detectives And Criminal Investigators
333050,PRT,Police Officers,PRT-Police Officers
3330XX,PRT,Fish And Game Wardens And Parking Enforcement Officers,PRT-Fish And Game Wardens And Parking Enforcement Officers
339011,PRT,Animal Control Workers,PRT-Animal Control Workers
339021,PRT,Private Detectives And Investigators,PRT-Private Detectives And Investigators
339030,PRT,Security Guards And Gambling Surveillance Officers,PRT-Security Guards And Gambling Surveillance Officers
339091,PRT,Crossing Guards And Flaggers,PRT-Crossing Guards And Flaggers
339093,PRT,Transportation Security Screeners,PRT-Transportation Security Screeners
339094,PRT,School Bus Monitors,PRT-School Bus Monitors
33909X,PRT,Other Protective Service Workers,PRT-Other Protective Service Workers
351011,EAT,Chefs And Head Cooks,EAT-Chefs And Head Cooks
351012,EAT,First-Line Supervisors Of Food Preparation And Serving Workers,EAT-First-Line Supervisors Of Food Preparation And Serving Workers
352010,EAT,Cooks,EAT-Cooks
352021,EAT,Food Preparation Workers,EAT-Food Preparation Workers
353011,EAT,Bartenders,EAT-Bartenders
353023,EAT,Fast Food And Counter Workers,EAT-Fast Food And Counter Workers
353031,EAT,Waiters And Waitresses,EAT-Waiters And Waitresses
353041,EAT,"Food Servers, Nonrestaurant","EAT-Food Servers, Nonrestaurant"
359011,EAT,Dining Room And Cafeteria Attendants And Bartender Helpers,EAT-Dining Room And Cafeteria Attendants And Bartender Helpers
359021,EAT,Dishwashers,EAT-Dishwashers
359031,EAT,"Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop","EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop"
359099,EAT,"Food Preparation And Serving Related Workers, All Other","EAT-Food Preparation And Serving Related Workers, All Other"
371011,CLN,First-Line Supervisors Of Housekeeping And Janitorial Workers,CLN-First-Line Supervisors Of Housekeeping And Janitorial Workers
371012,CLN,"First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers","CLN-First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers"
372012,CLN,Maids And Housekeeping Cleaners,CLN-Maids And Housekeeping Cleaners
37201X,CLN,Janitors And Building Cleaners,CLN-Janitors And Building Cleaners
372021,CLN,Pest Control Workers,CLN-Pest Control Workers
373011,CLN,Landscaping And Groundskeeping Workers,CLN-Landscaping And Groundskeeping Workers
373013,CLN,Tree Trimmers And Pruners,CLN-Tree Trimmers And Pruners
37301X,CLN,Other Grounds Maintenance Workers,CLN-Other Grounds Maintenance Workers
391000,PRS,Supervisors of Personal Care And Service Workers,PRS-Supervisors of Personal Care And Service Workers
392011,PRS,Animal Trainers,PRS-Animal Trainers
392021,PRS,Animal Caretakers,PRS-Animal Caretakers
393010,PRS,Gambling Services Workers,PRS-Gambling Services Workers
393031,PRS,"Ushers, Lobby Attendants, And Ticket Takers","PRS-Ushers, Lobby Attendants, And Ticket Takers"
3930XX,PRS,Other Entertainment Attendants And Related Workers,PRS-Other Entertainment Attendants And Related Workers
394031,PRS,"Morticians, Undertakers, And Funeral Arrangers","PRS-Morticians, Undertakers, And Funeral Arrangers"
3940XX,PRS,"Embalmers, Crematory Operators And Funeral Attendants","PRS-Embalmers, Crematory Operators And Funeral Attendants"
395011,PRS,Barbers,PRS-Barbers
395012,PRS,"Hairdressers, Hairstylists, And Cosmetologists","PRS-Hairdressers, Hairstylists, And Cosmetologists"
395092,PRS,Manicurists and Pedicurists,PRS-Manicurists and Pedicurists
395094,PRS,Skincare Specialists,PRS-Skincare Specialists
39509X,PRS,Other Personal Appearance Workers,PRS-Other Personal Appearance Workers
396010,PRS,"Baggage Porters, Bellhops, And Concierges","PRS-Baggage Porters, Bellhops, And Concierges"
397010,PRS,Tour And Travel Guides,PRS-Tour And Travel Guides
399011,PRS,Childcare Workers,PRS-Childcare Workers
399031,PRS,Exercise Trainers And Group Fitness Instructors,PRS-Exercise Trainers And Group Fitness Instructors
399032,PRS,Recreation Workers,PRS-Recreation Workers
399041,PRS,Residential Advisors,PRS-Residential Advisors
399099,PRS,"Personal Care And Service Workers, All Other","PRS-Personal Care And Service Workers, All Other"
411011,SAL,First-Line Supervisors Of Retail Sales Workers,SAL-First-Line Supervisors Of Retail Sales Workers
411012,SAL,First-Line Supervisors Of Non-Retail Sales Workers,SAL-First-Line Supervisors Of Non-Retail Sales Workers
412010,SAL,Cashiers,SAL-Cashiers
412021,SAL,Counter And Rental Clerks,SAL-Counter And Rental Clerks
412022,SAL,Parts Salespersons,SAL-Parts Salespersons
412031,SAL,Retail Salespersons,SAL-Retail Salespersons
413011,SAL,Advertising Sales Agents,SAL-Advertising Sales Agents
413021,SAL,Insurance Sales Agents,SAL-Insurance Sales Agents
413031,SAL,"Securities, Commodities, And Financial Services Sales Agents","SAL-Securities, Commodities, And Financial Services Sales Agents"
413041,SAL,Travel Agents,SAL-Travel Agents
413091,SAL,"Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel","SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel"
414010,SAL,"Sales Representatives, Wholesale And Manufacturing","SAL-Sales Representatives, Wholesale And Manufacturing"
419010,SAL,"Models, Demonstrators, And Product Promoters","SAL-Models, Demonstrators, And Product Promoters"
419020,SAL,Real Estate Brokers And Sales Agents,SAL-Real Estate Brokers And Sales Agents
419031,SAL,Sales Engineers,SAL-Sales Engineers
419041,SAL,Telemarketers,SAL-Telemarketers
419091,SAL,"Door-To-Door Sales Workers, News And Street Vendors, And Related Workers","SAL-Door-To-Door Sales Workers, News And Street Vendors, And Related Workers"
419099,SAL,"Sales And Related Workers, All Other","SAL-Sales And Related Workers, All Other"
431011,OFF,First-Line Supervisors Of Office And Administrative Support Workers,OFF-First-Line Supervisors Of Office And Administrative Support Workers
